origin_id,user_id,theta
1615,7,1.0377713441848755
1615,8,0.7827596068382263
782,18,-1.9270367622375488
1084,30,-4.062422752380371
1084,31,-3.258427619934082
593,36,1.238343596458435
127,53,1.0415230989456177
127,55,1.0470281839370728
1443,60,-0.43509724736213684
915,84,0.18412426114082336
55,89,1.5002168416976929
3128,103,0.5813231468200684
481,120,-1.3935154676437378
933,134,1.5084589719772339
933,135,1.4052810668945312
933,140,0.7708186507225037
144,145,-0.1866426169872284
144,148,-0.27484390139579773
742,168,-0.29216739535331726
742,169,-0.5211581587791443
3119,181,0.4160557687282562
2342,189,-0.3670346438884735
2342,195,-1.677880048751831
106,211,-1.0273948907852173
48,225,0.012508014217019081
48,228,0.07844391465187073
492,232,1.472060203552246
2220,243,0.19803279638290405
2220,244,0.4678124487400055
2220,248,-0.0017146867467090487
2220,251,-0.34470871090888977
2220,252,-0.6316832900047302
2492,258,0.4894045293331146
2492,260,-0.5973307490348816
483,274,0.22337982058525085
483,275,0.06829869747161865
766,279,-2.2125914096832275
2128,291,-0.596811056137085
474,309,0.747200608253479
474,312,0.5931935906410217
474,314,0.6817675828933716
474,317,0.5943397283554077
1117,323,2.327564001083374
1117,324,1.6080327033996582
475,336,0.43715623021125793
78,342,0.5244233012199402
78,345,0.41967931389808655
78,346,0.44042250514030457
78,347,0.27948281168937683
78,350,0.28594696521759033
78,352,0.34805962443351746
480,360,0.36267605423927307
480,361,0.2551666796207428
2978,368,1.1032178401947021
2978,370,0.7527818083763123
2978,374,-0.18588358163833618
891,381,-0.3608875274658203
891,383,-0.695587158203125
891,384,-0.8112238645553589
1050,386,-5.233799934387207
1015,397,0.843754231929779
1015,402,0.7598681449890137
154,409,1.702517032623291
154,417,0.8588246703147888
2695,429,0.8654608130455017
619,431,-1.3240841627120972
619,434,-1.8875218629837036
619,439,-3.330843925476074
619,440,-3.2177867889404297
3369,452,0.41630804538726807
3369,458,-1.3570464849472046
1002,467,-0.20760118961334229
1002,470,-1.116600751876831
2374,475,-0.4746290445327759
2374,477,-0.5464677214622498
208,500,0.6393805742263794
208,502,0.7277179956436157
1513,510,0.24817994236946106
69,543,0.7107964754104614
491,555,1.5020757913589478
111,564,0.5264235734939575
459,576,0.8919855952262878
459,578,0.8531647324562073
1342,585,-3.9033992290496826
1342,586,-3.2897794246673584
498,605,1.1573573350906372
2005,617,1.0423551797866821
2005,622,-0.3815677762031555
2005,625,-0.2900581657886505
478,639,0.5210586190223694
478,641,0.5658648014068604
478,644,0.4620668292045593
670,652,0.6760830283164978
670,656,0.2636319398880005
670,658,-0.002523073460906744
2551,669,-1.0133335590362549
61,702,1.3239896297454834
464,708,0.7722349762916565
464,715,0.44783762097358704
456,716,0.7881303429603577
456,721,0.6078036427497864
456,726,0.5786266326904297
114,730,-1.3206888437271118
114,734,-1.5015112161636353
