origin_id,kendall_tau,spearman_corr
1615,0.23636363636363636,0.3090909090909091
782,0.16363636363636364,0.17272727272727276
1084,-0.3090909090909091,-0.2545454545454546
593,-0.3090909090909091,-0.44545454545454555
127,-0.0909090909090909,-0.20000000000000004
1443,-0.05454545454545454,-0.13636363636363638
437,-0.23636363636363636,-0.3545454545454546
915,-0.1272727272727273,-0.16363636363636366
55,0.0909090909090909,0.15454545454545454
3128,0.2727272727272727,0.30000000000000004
481,-0.05454545454545454,-0.05454545454545456
1057,-0.2727272727272727,-0.33636363636363636
933,0.41818181818181815,0.6090909090909091
144,0.3090909090909091,0.5181818181818182
45,-0.38181818181818183,-0.48181818181818187
742,0.2727272727272727,0.5090909090909091
3119,0.16363636363636364,0.22727272727272727
2342,0.23636363636363636,0.21818181818181823
50,0.2,0.20909090909090913
106,-0.23636363636363636,-0.28181818181818186
48,0.2727272727272727,0.36363636363636365
492,0.41818181818181815,0.5
2220,0.2,0.29090909090909095
2492,0.6363636363636364,0.690909090909091
483,-0.018181818181818184,0.06363636363636364
766,-0.1272727272727273,-0.10000000000000002
2128,0.23636363636363636,0.3454545454545455
3167,-0.23636363636363636,-0.3272727272727273
474,0.38181818181818183,0.5545454545454546
1117,-0.2,-0.21818181818181823
475,0.45454545454545453,0.5454545454545455
78,-0.23636363636363636,-0.29090909090909095
480,0.38181818181818183,0.5545454545454546
2978,-0.38181818181818183,-0.5363636363636364
891,0.23636363636363636,0.30000000000000004
1050,0.0909090909090909,0.10000000000000002
1015,0.1272727272727273,0.19090909090909092
154,0.0909090909090909,0.09090909090909091
2695,0.018181818181818184,-0.009090909090909092
619,-0.23636363636363636,-0.3181818181818182
1130,-0.0909090909090909,-0.10909090909090911
3369,-0.018181818181818184,0.05454545454545456
1002,0.45454545454545453,0.5818181818181819
2374,-0.0909090909090909,-0.16363636363636366
2792,-0.018181818181818184,0.02727272727272728
208,0.2727272727272727,0.29090909090909095
1513,-0.2,-0.27272727272727276
162,0.34545454545454546,0.3090909090909091
136,-0.16363636363636364,-0.30000000000000004
69,0.34545454545454546,0.48181818181818187
491,0.2727272727272727,0.39090909090909093
111,-0.16363636363636364,-0.2545454545454546
459,0.16363636363636364,0.16363636363636366
1342,0.16363636363636364,0.15454545454545454
498,-0.018181818181818184,-0.11818181818181818
2467,0.2,0.23636363636363636
2005,0.05454545454545454,0.08181818181818183
947,-0.41818181818181815,-0.5818181818181819
478,0.05454545454545454,0.02727272727272728
670,0.16363636363636364,0.15454545454545454
2551,0.34545454545454546,0.4272727272727273
97,0.5272727272727272,0.7090909090909092
2456,-0.0909090909090909,-0.07272727272727274
61,-0.018181818181818184,0.009090909090909092
464,0.34545454545454546,0.39090909090909093
456,-0.018181818181818184,-0.10909090909090911
114,0.16363636363636364,0.13636363636363638
799,0.16363636363636364,0.19090909090909092
1416,0.2727272727272727,0.3272727272727273
440,0.2727272727272727,0.4090909090909091
